version,data_format,request,response,response_hex,address,expected,actual,match,eeprom_read_events,event_details,steps,error
2.06,0x05,AR00,AR0064\x0A,41 52 30 30 36 34 0A,0x00,0x64,0x64,yes,1,EEPROM[0x00],777,
2.06,0x05,AR01,AR013d\x0A,41 52 30 31 33 64 0A,0x01,0x3D,0x3D,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x01],1128,
2.06,0x05,AR10,AR1030\x0A,41 52 31 30 33 30 0A,0x10,0x30,0x30,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x10],1127,
2.06,0x05,AR11,AR1130\x0A,41 52 31 31 33 30 0A,0x11,0x30,0x30,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x11],1192,
2.06,0x05,AR12,AR1230\x0A,41 52 31 32 33 30 0A,0x12,0x30,0x30,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x12],1192,
2.06,0x05,AR13,AR134f\x0A,41 52 31 33 34 66 0A,0x13,0x4F,0x4F,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x13],1127,
2.06,0x05,AR14,AR1450\x0A,41 52 31 34 35 30 0A,0x14,0x50,0x50,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x14],1192,
2.06,0x05,AR15,AR1545\x0A,41 52 31 35 34 35 0A,0x15,0x45,0x45,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x15],1133,
2.06,0x05,AR16,AR164e\x0A,41 52 31 36 34 65 0A,0x16,0x4E,0x4E,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x16],1192,
2.06,0x05,AR17,AR174d\x0A,41 52 31 37 34 64 0A,0x17,0x4D,0x4D,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x17],1127,
2.06,0x05,AR18,AR1841\x0A,41 52 31 38 34 31 0A,0x18,0x41,0x41,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x18],1192,
2.06,0x05,AR19,AR1958\x0A,41 52 31 39 35 38 0A,0x19,0x58,0x58,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x19],1127,
2.06,0x05,AR1A,AR1a46\x0A,41 52 31 61 34 36 0A,0x1A,0x46,0x46,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x1A],1196,
2.06,0x05,AR1B,AR1b49\x0A,41 52 31 62 34 39 0A,0x1B,0x49,0x49,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x1B],1131,
2.06,0x05,AR1C,AR1c52\x0A,41 52 31 63 35 32 0A,0x1C,0x52,0x52,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x1C],1204,
2.06,0x05,AR1D,AR1d45\x0A,41 52 31 64 34 35 0A,0x1D,0x45,0x45,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x1D],1195,
2.06,0x05,AR1E,AR1e2d\x0A,41 52 31 65 32 64 0A,0x1E,0x2D,0x2D,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x1E],1131,
2.06,0x05,AR1F,AR1f4c\x0A,41 52 31 66 34 63 0A,0x1F,0x4C,0x4C,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x1F],1196,
2.06,0x05,AR20,AR2041\x0A,41 52 32 30 34 31 0A,0x20,0x41,0x41,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x20],1127,
2.06,0x05,AR21,AR2142\x0A,41 52 32 31 34 32 0A,0x21,0x42,0x42,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x21],1192,
2.06,0x05,AR22,AR2220\x0A,41 52 32 32 32 30 0A,0x22,0x20,0x20,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x22],1127,
2.06,0x05,AR23,AR2369\x0A,41 52 32 33 36 39 0A,0x23,0x69,0x69,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x23],1192,
2.06,0x05,AR24,AR248e\x0A,41 52 32 34 38 65 0A,0x24,0x8E,0x8E,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x24],1131,
2.06,0x05,AR25,AR25b3\x0A,41 52 32 35 62 33 0A,0x25,0xB3,0xB3,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x25],1192,
2.06,0x05,AR26,AR26d8\x0A,41 52 32 36 64 38 0A,0x26,0xD8,0xD8,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x26],1192,
2.06,0x05,AR27,AR27fd\x0A,41 52 32 37 66 64 0A,0x27,0xFD,0xFD,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x27],1127,
2.06,0x05,AR28,AR2822\x0A,41 52 32 38 32 32 0A,0x28,0x22,0x22,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x28],1192,
2.06,0x05,AR29,AR2947\x0A,41 52 32 39 34 37 0A,0x29,0x47,0x47,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x29],1127,
2.06,0x05,AR2A,AR2a6c\x0A,41 52 32 61 36 63 0A,0x2A,0x6C,0x6C,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x2A],1196,
2.06,0x05,AR2B,AR2b91\x0A,41 52 32 62 39 31 0A,0x2B,0x91,0x91,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x2B],1136,
2.06,0x05,AR2C,AR2cb6\x0A,41 52 32 63 62 36 0A,0x2C,0xB6,0xB6,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x2C],1196,
2.06,0x05,AR2D,AR2ddb\x0A,41 52 32 64 64 62 0A,0x2D,0xDB,0xDB,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x2D],1131,
2.06,0x05,AR2E,AR2e00\x0A,41 52 32 65 30 30 0A,0x2E,0x00,0x00,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x2E],1196,
2.06,0x05,AR2F,AR2f25\x0A,41 52 32 66 32 35 0A,0x2F,0x25,0x25,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x2F],1196,
2.06,0x05,AR30,AR304a\x0A,41 52 33 30 34 61 0A,0x30,0x4A,0x4A,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x30],1127,
2.06,0x05,AR31,AR316f\x0A,41 52 33 31 36 66 0A,0x31,0x6F,0x6F,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x31],1192,
2.06,0x05,AR32,AR3294\x0A,41 52 33 32 39 34 0A,0x32,0x94,0x94,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x32],1133,
2.06,0x05,AR33,AR33b9\x0A,41 52 33 33 62 39 0A,0x33,0xB9,0xB9,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x33],1192,
2.06,0x05,AR34,AR34de\x0A,41 52 33 34 64 65 0A,0x34,0xDE,0xDE,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x34],1127,
2.06,0x05,AR35,AR3503\x0A,41 52 33 35 30 33 0A,0x35,0x03,0x03,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x35],1192,
2.06,0x05,AR36,AR3628\x0A,41 52 33 36 32 38 0A,0x36,0x28,0x28,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x36],1127,
2.06,0x05,AR37,AR374d\x0A,41 52 33 37 34 64 0A,0x37,0x4D,0x4D,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x37],1192,
2.06,0x05,AR38,AR3872\x0A,41 52 33 38 37 32 0A,0x38,0x72,0x72,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x38],1127,
2.06,0x05,AR39,AR3997\x0A,41 52 33 39 39 37 0A,0x39,0x97,0x97,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x39],1200,
2.06,0x05,AR3A,AR3abc\x0A,41 52 33 61 62 63 0A,0x3A,0xBC,0xBC,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x3A],1195,
2.06,0x05,AR3B,AR3be1\x0A,41 52 33 62 65 31 0A,0x3B,0xE1,0xE1,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x3B],1131,
2.06,0x05,AR3C,AR3c06\x0A,41 52 33 63 30 36 0A,0x3C,0x06,0x06,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x3C],1196,
2.06,0x05,AR3D,AR3d2b\x0A,41 52 33 64 32 62 0A,0x3D,0x2B,0x2B,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x3D],1131,
2.06,0x05,AR3E,AR3e50\x0A,41 52 33 65 35 30 0A,0x3E,0x50,0x50,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x3E],1196,
2.06,0x05,AR3F,AR3f75\x0A,41 52 33 66 37 35 0A,0x3F,0x75,0x75,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x3F],1131,
2.06,0x05,AR40,AR409a\x0A,41 52 34 30 39 61 0A,0x40,0x9A,0x9A,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x40],1192,
2.06,0x05,AR41,AR41bf\x0A,41 52 34 31 62 66 0A,0x41,0xBF,0xBF,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x41],1131,
2.06,0x05,AR42,AR42e4\x0A,41 52 34 32 65 34 0A,0x42,0xE4,0xE4,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x42],1192,
2.06,0x05,AR43,AR4309\x0A,41 52 34 33 30 39 0A,0x43,0x09,0x09,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x43],1193,
2.06,0x05,AR44,AR442e\x0A,41 52 34 34 32 65 0A,0x44,0x2E,0x2E,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x44],1127,
2.06,0x05,AR45,AR4553\x0A,41 52 34 35 35 33 0A,0x45,0x53,0x53,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x45],1192,
2.06,0x05,AR46,AR4678\x0A,41 52 34 36 37 38 0A,0x46,0x78,0x78,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x46],1127,
2.06,0x05,AR47,AR479d\x0A,41 52 34 37 39 64 0A,0x47,0x9D,0x9D,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x47],1192,
2.06,0x05,AR48,AR48c2\x0A,41 52 34 38 63 32 0A,0x48,0xC2,0xC2,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x48],1132,
2.06,0x05,AR49,AR49e7\x0A,41 52 34 39 65 37 0A,0x49,0xE7,0xE7,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x49],1192,
2.06,0x05,AR4A,AR4a0c\x0A,41 52 34 61 30 63 0A,0x4A,0x0C,0x0C,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x4A],1131,
2.06,0x05,AR4B,AR4b31\x0A,41 52 34 62 33 31 0A,0x4B,0x31,0x31,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x4B],1196,
2.06,0x05,AR4C,AR4c56\x0A,41 52 34 63 35 36 0A,0x4C,0x56,0x56,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x4C],1131,
2.06,0x05,AR4D,AR4d7b\x0A,41 52 34 64 37 62 0A,0x4D,0x7B,0x7B,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x4D],1196,
2.06,0x05,AR4E,AR4ea0\x0A,41 52 34 65 61 30 0A,0x4E,0xA0,0xA0,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x4E],1196,
2.06,0x05,AR4F,AR4fc5\x0A,41 52 34 66 63 35 0A,0x4F,0xC5,0xC5,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x4F],1137,
2.06,0x05,AR50,AR50ea\x0A,41 52 35 30 65 61 0A,0x50,0xEA,0xEA,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x50],1192,
2.06,0x05,AR51,AR510f\x0A,41 52 35 31 30 66 0A,0x51,0x0F,0x0F,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x51],1127,
2.06,0x05,AR52,AR5234\x0A,41 52 35 32 33 34 0A,0x52,0x34,0x34,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x52],1192,
2.06,0x05,AR53,AR5359\x0A,41 52 35 33 35 39 0A,0x53,0x59,0x59,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x53],1127,
2.06,0x05,AR54,AR547e\x0A,41 52 35 34 37 65 0A,0x54,0x7E,0x7E,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x54],1192,
2.06,0x05,AR55,AR55a3\x0A,41 52 35 35 61 33 0A,0x55,0xA3,0xA3,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x55],1127,
2.06,0x05,AR56,AR56c8\x0A,41 52 35 36 63 38 0A,0x56,0xC8,0xC8,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x56],1200,
2.06,0x05,AR57,AR57ed\x0A,41 52 35 37 65 64 0A,0x57,0xED,0xED,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x57],1191,
2.06,0x05,AR58,AR5812\x0A,41 52 35 38 31 32 0A,0x58,0x12,0x12,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x58],1127,
2.06,0x05,AR59,AR5937\x0A,41 52 35 39 33 37 0A,0x59,0x37,0x37,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x59],1192,
2.06,0x05,AR5A,AR5a5c\x0A,41 52 35 61 35 63 0A,0x5A,0x5C,0x5C,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x5A],1131,
2.06,0x05,AR5B,AR5b81\x0A,41 52 35 62 38 31 0A,0x5B,0x81,0x81,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x5B],1196,
2.06,0x05,AR5C,AR5ca6\x0A,41 52 35 63 61 36 0A,0x5C,0xA6,0xA6,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x5C],1131,
2.06,0x05,AR5D,AR5dcb\x0A,41 52 35 64 63 62 0A,0x5D,0xCB,0xCB,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x5D],1196,
2.06,0x05,AR5E,AR5ef0\x0A,41 52 35 65 66 30 0A,0x5E,0xF0,0xF0,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x5E],1135,
2.06,0x05,AR5F,AR5f15\x0A,41 52 35 66 31 35 0A,0x5F,0x15,0x15,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x5F],1196,
2.06,0x05,AR60,AR603a\x0A,41 52 36 30 33 61 0A,0x60,0x3A,0x3A,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x60],1192,
2.06,0x05,AR61,AR615f\x0A,41 52 36 31 35 66 0A,0x61,0x5F,0x5F,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x61],1127,
2.06,0x05,AR62,AR6284\x0A,41 52 36 32 38 34 0A,0x62,0x84,0x84,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x62],1192,
2.06,0x05,AR63,AR63a9\x0A,41 52 36 33 61 39 0A,0x63,0xA9,0xA9,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x63],1127,
2.06,0x05,AR64,AR64ce\x0A,41 52 36 34 63 65 0A,0x64,0xCE,0xCE,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x64],1192,
2.06,0x05,AR65,AR65f3\x0A,41 52 36 35 66 33 0A,0x65,0xF3,0xF3,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x65],1132,
2.06,0x05,AR66,AR6618\x0A,41 52 36 36 31 38 0A,0x66,0x18,0x18,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x66],1192,
2.06,0x05,AR67,AR673d\x0A,41 52 36 37 33 64 0A,0x67,0x3D,0x3D,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x67],1127,
2.06,0x05,AR68,AR6862\x0A,41 52 36 38 36 32 0A,0x68,0x62,0x62,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x68],1192,
2.06,0x05,AR69,AR6987\x0A,41 52 36 39 38 37 0A,0x69,0x87,0x87,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x69],1127,
2.06,0x05,AR6A,AR6aac\x0A,41 52 36 61 61 63 0A,0x6A,0xAC,0xAC,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x6A],1196,
2.06,0x05,AR6B,AR6bd1\x0A,41 52 36 62 64 31 0A,0x6B,0xD1,0xD1,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x6B],1196,
2.06,0x05,AR6C,AR6cf6\x0A,41 52 36 63 66 36 0A,0x6C,0xF6,0xF6,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x6C],1137,
2.06,0x05,AR6D,AR6d1b\x0A,41 52 36 64 31 62 0A,0x6D,0x1B,0x1B,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x6D],1196,
2.06,0x05,AR6E,AR6e40\x0A,41 52 36 65 34 30 0A,0x6E,0x40,0x40,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x6E],1131,
2.06,0x05,AR6F,AR6f65\x0A,41 52 36 66 36 35 0A,0x6F,0x65,0x65,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x6F],1196,
2.06,0x05,AR70,AR708a\x0A,41 52 37 30 38 61 0A,0x70,0x8A,0x8A,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x70],1127,
2.06,0x05,AR71,AR71af\x0A,41 52 37 31 61 66 0A,0x71,0xAF,0xAF,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x71],1192,
2.06,0x05,AR72,AR72d4\x0A,41 52 37 32 64 34 0A,0x72,0xD4,0xD4,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x72],1127,
2.06,0x05,AR73,AR73f9\x0A,41 52 37 33 66 39 0A,0x73,0xF9,0xF9,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x73],1200,
2.06,0x05,AR74,AR741e\x0A,41 52 37 34 31 65 0A,0x74,0x1E,0x1E,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x74],1191,
2.06,0x05,AR75,AR7543\x0A,41 52 37 35 34 33 0A,0x75,0x43,0x43,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x75],1127,
2.06,0x05,AR76,AR7668\x0A,41 52 37 36 36 38 0A,0x76,0x68,0x68,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x76],1192,
2.06,0x05,AR77,AR778d\x0A,41 52 37 37 38 64 0A,0x77,0x8D,0x8D,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x77],1127,
2.06,0x05,AR78,AR78b2\x0A,41 52 37 38 62 32 0A,0x78,0xB2,0xB2,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x78],1192,
2.06,0x05,AR79,AR79d7\x0A,41 52 37 39 64 37 0A,0x79,0xD7,0xD7,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x79],1127,
2.06,0x05,AR7A,AR7afc\x0A,41 52 37 61 66 63 0A,0x7A,0xFC,0xFC,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x7A],1196,
2.06,0x05,AR7B,AR7b21\x0A,41 52 37 62 32 31 0A,0x7B,0x21,0x21,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x7B],1136,
2.06,0x05,AR7C,AR7c46\x0A,41 52 37 63 34 36 0A,0x7C,0x46,0x46,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x7C],1196,
2.06,0x05,AR7D,AR7d6b\x0A,41 52 37 64 36 62 0A,0x7D,0x6B,0x6B,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x7D],1131,
2.06,0x05,AR7E,AR7e90\x0A,41 52 37 65 39 30 0A,0x7E,0x90,0x90,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x7E],1196,
2.06,0x05,AR7F,AR7fb5\x0A,41 52 37 66 62 35 0A,0x7F,0xB5,0xB5,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x7F],1196,
2.06,0x05,AR80,AR80da\x0A,41 52 38 30 64 61 0A,0x80,0xDA,0xDA,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x80],1127,
2.06,0x05,AR81,AR81ff\x0A,41 52 38 31 66 66 0A,0x81,0xFF,0xFF,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x81],1192,
2.06,0x05,AR82,AR8224\x0A,41 52 38 32 32 34 0A,0x82,0x24,0x24,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x82],1132,
2.06,0x05,AR83,AR8349\x0A,41 52 38 33 34 39 0A,0x83,0x49,0x49,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x83],1192,
2.06,0x05,AR84,AR846e\x0A,41 52 38 34 36 65 0A,0x84,0x6E,0x6E,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x84],1127,
2.06,0x05,AR85,AR8593\x0A,41 52 38 35 39 33 0A,0x85,0x93,0x93,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x85],1192,
2.06,0x05,AR86,AR86b8\x0A,41 52 38 36 62 38 0A,0x86,0xB8,0xB8,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x86],1127,
2.06,0x05,AR87,AR87dd\x0A,41 52 38 37 64 64 0A,0x87,0xDD,0xDD,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x87],1192,
2.06,0x05,AR88,AR8802\x0A,41 52 38 38 30 32 0A,0x88,0x02,0x02,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x88],1127,
2.06,0x05,AR89,AR8927\x0A,41 52 38 39 32 37 0A,0x89,0x27,0x27,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x89],1198,
2.06,0x05,AR8A,AR8a4c\x0A,41 52 38 61 34 63 0A,0x8A,0x4C,0x4C,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x8A],1196,
2.06,0x05,AR8B,AR8b71\x0A,41 52 38 62 37 31 0A,0x8B,0x71,0x71,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x8B],1131,
2.06,0x05,AR8C,AR8c96\x0A,41 52 38 63 39 36 0A,0x8C,0x96,0x96,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x8C],1196,
2.06,0x05,AR8D,AR8dbb\x0A,41 52 38 64 62 62 0A,0x8D,0xBB,0xBB,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x8D],1131,
2.06,0x05,AR8E,AR8ee0\x0A,41 52 38 65 65 30 0A,0x8E,0xE0,0xE0,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x8E],1196,
2.06,0x05,AR8F,AR8f05\x0A,41 52 38 66 30 35 0A,0x8F,0x05,0x05,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x8F],1131,
2.06,0x05,AR90,AR902a\x0A,41 52 39 30 32 61 0A,0x90,0x2A,0x2A,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x90],1200,
2.06,0x05,AR91,AR914f\x0A,41 52 39 31 34 66 0A,0x91,0x4F,0x4F,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x91],1191,
2.06,0x05,AR92,AR9274\x0A,41 52 39 32 37 34 0A,0x92,0x74,0x74,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x92],1127,
2.06,0x05,AR93,AR9399\x0A,41 52 39 33 39 39 0A,0x93,0x99,0x99,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x93],1192,
2.06,0x05,AR94,AR94be\x0A,41 52 39 34 62 65 0A,0x94,0xBE,0xBE,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x94],1127,
2.06,0x05,AR95,AR95e3\x0A,41 52 39 35 65 33 0A,0x95,0xE3,0xE3,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x95],1192,
