data_format,address,value,ascii,checksum_covered,role
0x05,0xD5,0x23,#,no,deterministic lab pattern
0x05,0xD6,0x48,H,no,deterministic lab pattern
0x05,0xD7,0x6D,m,no,deterministic lab pattern
0x05,0xD8,0x92,,no,deterministic lab pattern
0x05,0xD9,0xB7,,no,deterministic lab pattern
0x05,0xDA,0xDC,,no,deterministic lab pattern
0x05,0xDB,0x01,,no,deterministic lab pattern
0x05,0xDC,0x26,&,no,deterministic lab pattern
0x05,0xDD,0x4B,K,no,deterministic lab pattern
0x05,0xDE,0x70,p,no,deterministic lab pattern
0x05,0xDF,0x95,,no,deterministic lab pattern
0x05,0xE0,0xBA,,no,deterministic lab pattern
0x05,0xE1,0xDF,,no,deterministic lab pattern
0x05,0xE2,0x04,,no,deterministic lab pattern
0x05,0xE3,0x29,),no,deterministic lab pattern
0x05,0xE4,0x4E,N,no,deterministic lab pattern
0x05,0xE5,0x73,s,no,deterministic lab pattern
0x05,0xE6,0x98,,no,deterministic lab pattern
0x05,0xE7,0xBD,,no,deterministic lab pattern
0x05,0xE8,0xE2,,no,deterministic lab pattern
0x05,0xE9,0x07,,no,deterministic lab pattern
0x05,0xEA,0x2C,",",no,deterministic lab pattern
0x05,0xEB,0x51,Q,no,deterministic lab pattern
0x05,0xEC,0x76,v,no,deterministic lab pattern
0x05,0xED,0x9B,,no,deterministic lab pattern
0x05,0xEE,0xC0,,no,deterministic lab pattern
0x05,0xEF,0xE5,,no,deterministic lab pattern
0x05,0xF0,0x0A,,no,deterministic lab pattern
0x05,0xF1,0x2F,/,no,deterministic lab pattern
0x05,0xF2,0x54,T,no,deterministic lab pattern
0x05,0xF3,0x79,y,no,deterministic lab pattern
0x05,0xF4,0x9E,,no,deterministic lab pattern
0x05,0xF5,0xC3,,no,deterministic lab pattern
0x05,0xF6,0xE8,,no,deterministic lab pattern
0x05,0xF7,0x0D,,no,deterministic lab pattern
0x05,0xF8,0x32,2,no,deterministic lab pattern
0x05,0xF9,0x57,W,no,deterministic lab pattern
0x05,0xFA,0x7C,|,no,deterministic lab pattern
0x05,0xFB,0xA1,,no,deterministic lab pattern
0x05,0xFC,0xC6,,no,deterministic lab pattern
0x05,0xFD,0xEB,,no,deterministic lab pattern
0x05,0xFE,0x10,,no,deterministic lab pattern
0x05,0xFF,0x35,5,no,deterministic lab pattern
0x07,0x00,0x9A,,no,stored checksum
0x07,0x01,0xF4,,no,stored checksum
0x07,0x02,0x07,,yes,data format
0x07,0x03,0x45,E,yes,synthetic serial
0x07,0x04,0x4D,M,yes,synthetic serial
0x07,0x05,0x55,U,yes,synthetic serial
0x07,0x06,0x30,0,yes,synthetic serial
0x07,0x07,0x30,0,yes,synthetic serial
0x07,0x08,0x30,0,yes,synthetic serial
0x07,0x09,0x30,0,yes,synthetic serial
0x07,0x0A,0x31,1,yes,synthetic serial
0x07,0x0B,0x30,0,yes,synthetic production date
0x07,0x0C,0x31,1,yes,synthetic production date
0x07,0x0D,0x30,0,yes,synthetic production date
0x07,0x0E,0x31,1,yes,synthetic production date
0x07,0x0F,0x32,2,yes,synthetic production date
0x07,0x10,0x30,0,yes,synthetic production date
0x07,0x11,0x30,0,yes,synthetic production date
0x07,0x12,0x30,0,yes,synthetic production date
0x07,0x13,0x4F,O,yes,synthetic model
0x07,0x14,0x50,P,yes,synthetic model
0x07,0x15,0x45,E,yes,synthetic model
0x07,0x16,0x4E,N,yes,synthetic model
0x07,0x17,0x4D,M,yes,synthetic model
0x07,0x18,0x41,A,yes,synthetic model
0x07,0x19,0x58,X,yes,synthetic model
0x07,0x1A,0x46,F,yes,synthetic model
0x07,0x1B,0x49,I,yes,synthetic model
0x07,0x1C,0x52,R,yes,synthetic model
0x07,0x1D,0x45,E,yes,synthetic model
0x07,0x1E,0x2D,-,yes,synthetic model
0x07,0x1F,0x4C,L,yes,synthetic model
0x07,0x20,0x41,A,yes,synthetic model
0x07,0x21,0x42,B,yes,synthetic model
0x07,0x22,0x20, ,yes,synthetic model
0x07,0x23,0x69,i,yes,deterministic lab pattern
0x07,0x24,0x8E,,yes,deterministic lab pattern
0x07,0x25,0xB3,,yes,deterministic lab pattern
0x07,0x26,0xD8,,yes,deterministic lab pattern
0x07,0x27,0xFD,,yes,deterministic lab pattern
0x07,0x28,0x22,"""",yes,deterministic lab pattern
0x07,0x29,0x47,G,yes,deterministic lab pattern
0x07,0x2A,0x6C,l,yes,deterministic lab pattern
0x07,0x2B,0x91,,yes,deterministic lab pattern
0x07,0x2C,0xB6,,yes,deterministic lab pattern
0x07,0x2D,0xDB,,yes,deterministic lab pattern
0x07,0x2E,0x00,,yes,deterministic lab pattern
0x07,0x2F,0x25,%,yes,deterministic lab pattern
0x07,0x30,0x4A,J,yes,deterministic lab pattern
0x07,0x31,0x6F,o,yes,deterministic lab pattern
0x07,0x32,0x94,,yes,deterministic lab pattern
0x07,0x33,0xB9,,yes,deterministic lab pattern
0x07,0x34,0xDE,,yes,deterministic lab pattern
0x07,0x35,0x03,,yes,deterministic lab pattern
0x07,0x36,0x28,(,yes,deterministic lab pattern
0x07,0x37,0x4D,M,yes,deterministic lab pattern
0x07,0x38,0x72,r,yes,deterministic lab pattern
0x07,0x39,0x97,,yes,deterministic lab pattern
0x07,0x3A,0xBC,,yes,deterministic lab pattern
0x07,0x3B,0xE1,,yes,deterministic lab pattern
0x07,0x3C,0x06,,yes,deterministic lab pattern
0x07,0x3D,0x2B,+,yes,deterministic lab pattern
0x07,0x3E,0x50,P,yes,deterministic lab pattern
0x07,0x3F,0x75,u,yes,deterministic lab pattern
0x07,0x40,0x9A,,yes,deterministic lab pattern
0x07,0x41,0xBF,,yes,deterministic lab pattern
0x07,0x42,0xE4,,yes,deterministic lab pattern
0x07,0x43,0x09,,yes,deterministic lab pattern
0x07,0x44,0x2E,.,yes,deterministic lab pattern
0x07,0x45,0x53,S,yes,deterministic lab pattern
0x07,0x46,0x78,x,yes,deterministic lab pattern
0x07,0x47,0x9D,,yes,deterministic lab pattern
0x07,0x48,0xC2,,yes,deterministic lab pattern
0x07,0x49,0xE7,,yes,deterministic lab pattern
0x07,0x4A,0x0C,,yes,deterministic lab pattern
0x07,0x4B,0x31,1,yes,deterministic lab pattern
0x07,0x4C,0x56,V,yes,deterministic lab pattern
0x07,0x4D,0x7B,{,yes,deterministic lab pattern
0x07,0x4E,0xA0,,yes,deterministic lab pattern
0x07,0x4F,0xC5,,yes,deterministic lab pattern
0x07,0x50,0xEA,,yes,deterministic lab pattern
0x07,0x51,0x0F,,yes,deterministic lab pattern
0x07,0x52,0x34,4,yes,deterministic lab pattern
0x07,0x53,0x59,Y,yes,deterministic lab pattern
0x07,0x54,0x7E,~,yes,deterministic lab pattern
0x07,0x55,0xA3,,yes,deterministic lab pattern
0x07,0x56,0xC8,,yes,deterministic lab pattern
0x07,0x57,0xED,,yes,deterministic lab pattern
0x07,0x58,0x12,,yes,deterministic lab pattern
0x07,0x59,0x37,7,yes,deterministic lab pattern
0x07,0x5A,0x5C,\,yes,deterministic lab pattern
0x07,0x5B,0x81,,yes,deterministic lab pattern
0x07,0x5C,0xA6,,yes,deterministic lab pattern
0x07,0x5D,0xCB,,yes,deterministic lab pattern
0x07,0x5E,0xF0,,yes,deterministic lab pattern
0x07,0x5F,0x15,,yes,deterministic lab pattern
0x07,0x60,0x3A,:,yes,deterministic lab pattern
0x07,0x61,0x5F,_,yes,deterministic lab pattern
0x07,0x62,0x84,,yes,deterministic lab pattern
0x07,0x63,0xA9,,yes,deterministic lab pattern
0x07,0x64,0xCE,,yes,deterministic lab pattern
0x07,0x65,0xF3,,yes,deterministic lab pattern
0x07,0x66,0x18,,yes,deterministic lab pattern
0x07,0x67,0x3D,=,yes,deterministic lab pattern
0x07,0x68,0x62,b,yes,deterministic lab pattern
0x07,0x69,0x87,,yes,deterministic lab pattern
0x07,0x6A,0xAC,,yes,deterministic lab pattern
0x07,0x6B,0xD1,,yes,deterministic lab pattern
0x07,0x6C,0xF6,,yes,deterministic lab pattern
0x07,0x6D,0x1B,,yes,deterministic lab pattern
0x07,0x6E,0x40,@,yes,deterministic lab pattern
0x07,0x6F,0x65,e,yes,deterministic lab pattern
0x07,0x70,0x8A,,yes,deterministic lab pattern
0x07,0x71,0xAF,,yes,deterministic lab pattern
0x07,0x72,0xD4,,yes,deterministic lab pattern
0x07,0x73,0xF9,,yes,deterministic lab pattern
0x07,0x74,0x1E,,yes,deterministic lab pattern
0x07,0x75,0x43,C,yes,deterministic lab pattern
0x07,0x76,0x68,h,yes,deterministic lab pattern
0x07,0x77,0x8D,,yes,deterministic lab pattern
0x07,0x78,0xB2,,yes,deterministic lab pattern
0x07,0x79,0xD7,,yes,deterministic lab pattern
0x07,0x7A,0xFC,,yes,deterministic lab pattern
0x07,0x7B,0x21,!,yes,deterministic lab pattern
0x07,0x7C,0x46,F,yes,deterministic lab pattern
0x07,0x7D,0x6B,k,yes,deterministic lab pattern
0x07,0x7E,0x90,,yes,deterministic lab pattern
0x07,0x7F,0xB5,,yes,deterministic lab pattern
0x07,0x80,0xDA,,yes,deterministic lab pattern
0x07,0x81,0xFF,,yes,deterministic lab pattern
0x07,0x82,0x24,$,yes,deterministic lab pattern
0x07,0x83,0x49,I,yes,deterministic lab pattern
0x07,0x84,0x6E,n,yes,deterministic lab pattern
0x07,0x85,0x93,,yes,deterministic lab pattern
0x07,0x86,0xB8,,yes,deterministic lab pattern
0x07,0x87,0xDD,,yes,deterministic lab pattern
0x07,0x88,0x02,,yes,deterministic lab pattern
0x07,0x89,0x27,',yes,deterministic lab pattern
0x07,0x8A,0x4C,L,yes,deterministic lab pattern
0x07,0x8B,0x71,q,yes,deterministic lab pattern
0x07,0x8C,0x96,,yes,deterministic lab pattern
0x07,0x8D,0xBB,,yes,deterministic lab pattern
0x07,0x8E,0xE0,,yes,deterministic lab pattern
0x07,0x8F,0x05,,yes,deterministic lab pattern
0x07,0x90,0x2A,*,yes,deterministic lab pattern
0x07,0x91,0x4F,O,yes,deterministic lab pattern
0x07,0x92,0x74,t,yes,deterministic lab pattern
0x07,0x93,0x99,,yes,deterministic lab pattern
0x07,0x94,0xBE,,yes,deterministic lab pattern
0x07,0x95,0xE3,,yes,deterministic lab pattern
0x07,0x96,0x08,,yes,deterministic lab pattern
0x07,0x97,0x2D,-,yes,deterministic lab pattern
0x07,0x98,0x52,R,yes,deterministic lab pattern
0x07,0x99,0x77,w,yes,deterministic lab pattern
0x07,0x9A,0x9C,,yes,deterministic lab pattern
0x07,0x9B,0xC1,,yes,deterministic lab pattern
0x07,0x9C,0xE6,,yes,deterministic lab pattern
0x07,0x9D,0x0B,,yes,deterministic lab pattern
0x07,0x9E,0x30,0,yes,deterministic lab pattern
0x07,0x9F,0x55,U,yes,deterministic lab pattern
0x07,0xA0,0x7A,z,yes,deterministic lab pattern
0x07,0xA1,0x9F,,yes,deterministic lab pattern
0x07,0xA2,0xC4,,yes,deterministic lab pattern
0x07,0xA3,0xE9,,yes,deterministic lab pattern
0x07,0xA4,0x0E,,yes,deterministic lab pattern
0x07,0xA5,0x33,3,yes,deterministic lab pattern
0x07,0xA6,0x58,X,yes,deterministic lab pattern
0x07,0xA7,0x7D,},yes,deterministic lab pattern
0x07,0xA8,0xA2,,yes,deterministic lab pattern
0x07,0xA9,0xC7,,yes,deterministic lab pattern
0x07,0xAA,0xEC,,yes,deterministic lab pattern
0x07,0xAB,0x11,,yes,deterministic lab pattern
0x07,0xAC,0x36,6,yes,deterministic lab pattern
0x07,0xAD,0x5B,[,yes,deterministic lab pattern
0x07,0xAE,0x80,,yes,deterministic lab pattern
0x07,0xAF,0xA5,,yes,deterministic lab pattern
0x07,0xB0,0xCA,,yes,deterministic lab pattern
0x07,0xB1,0xEF,,yes,deterministic lab pattern
0x07,0xB2,0x14,,yes,deterministic lab pattern
0x07,0xB3,0x39,9,yes,deterministic lab pattern
0x07,0xB4,0x5E,^,yes,deterministic lab pattern
0x07,0xB5,0x83,,yes,deterministic lab pattern
0x07,0xB6,0xA8,,yes,deterministic lab pattern
0x07,0xB7,0xCD,,yes,deterministic lab pattern
0x07,0xB8,0xF2,,yes,deterministic lab pattern
0x07,0xB9,0x17,,yes,deterministic lab pattern
0x07,0xBA,0x3C,<,yes,deterministic lab pattern
0x07,0xBB,0x61,a,yes,deterministic lab pattern
0x07,0xBC,0x86,,yes,deterministic lab pattern
0x07,0xBD,0xAB,,yes,deterministic lab pattern
0x07,0xBE,0xD0,,yes,deterministic lab pattern
0x07,0xBF,0xF5,,yes,deterministic lab pattern
0x07,0xC0,0x1A,,yes,deterministic lab pattern
0x07,0xC1,0x3F,?,yes,deterministic lab pattern
0x07,0xC2,0x64,d,yes,deterministic lab pattern
0x07,0xC3,0x89,,yes,deterministic lab pattern
0x07,0xC4,0xAE,,yes,deterministic lab pattern
0x07,0xC5,0xD3,,yes,deterministic lab pattern
0x07,0xC6,0xF8,,yes,deterministic lab pattern
0x07,0xC7,0x1D,,yes,deterministic lab pattern
0x07,0xC8,0x42,B,yes,deterministic lab pattern
0x07,0xC9,0x67,g,yes,deterministic lab pattern
0x07,0xCA,0x8C,,yes,deterministic lab pattern
0x07,0xCB,0xB1,,yes,deterministic lab pattern
0x07,0xCC,0xD6,,yes,deterministic lab pattern
0x07,0xCD,0xFB,,yes,deterministic lab pattern
0x07,0xCE,0x20, ,yes,deterministic lab pattern
0x07,0xCF,0x45,E,yes,deterministic lab pattern
0x07,0xD0,0x6A,j,yes,deterministic lab pattern
0x07,0xD1,0x8F,,yes,deterministic lab pattern
0x07,0xD2,0xB4,,yes,deterministic lab pattern
0x07,0xD3,0xD9,,yes,deterministic lab pattern
0x07,0xD4,0xFE,,yes,deterministic lab pattern
0x07,0xD5,0x23,#,yes,deterministic lab pattern
0x07,0xD6,0x48,H,yes,deterministic lab pattern
0x07,0xD7,0x6D,m,yes,deterministic lab pattern
0x07,0xD8,0x92,,yes,deterministic lab pattern
0x07,0xD9,0xB7,,yes,deterministic lab pattern
0x07,0xDA,0xDC,,yes,deterministic lab pattern
0x07,0xDB,0x01,,yes,deterministic lab pattern
0x07,0xDC,0x26,&,yes,deterministic lab pattern
0x07,0xDD,0x4B,K,yes,deterministic lab pattern
0x07,0xDE,0x70,p,yes,deterministic lab pattern
0x07,0xDF,0x95,,yes,deterministic lab pattern
0x07,0xE0,0xBA,,yes,deterministic lab pattern
0x07,0xE1,0xDF,,yes,deterministic lab pattern
0x07,0xE2,0x04,,yes,deterministic lab pattern
0x07,0xE3,0x29,),yes,deterministic lab pattern
0x07,0xE4,0x4E,N,yes,deterministic lab pattern
0x07,0xE5,0x73,s,yes,deterministic lab pattern
0x07,0xE6,0x98,,yes,deterministic lab pattern
0x07,0xE7,0xBD,,yes,deterministic lab pattern
0x07,0xE8,0xE2,,yes,deterministic lab pattern
0x07,0xE9,0x07,,yes,deterministic lab pattern
0x07,0xEA,0x2C,",",yes,deterministic lab pattern
0x07,0xEB,0x51,Q,yes,deterministic lab pattern
0x07,0xEC,0x76,v,yes,deterministic lab pattern
0x07,0xED,0x9B,,yes,deterministic lab pattern
0x07,0xEE,0xC0,,yes,deterministic lab pattern
0x07,0xEF,0xE5,,yes,deterministic lab pattern
0x07,0xF0,0x0A,,yes,deterministic lab pattern
0x07,0xF1,0x2F,/,yes,deterministic lab pattern
0x07,0xF2,0x54,T,yes,deterministic lab pattern
0x07,0xF3,0x79,y,yes,deterministic lab pattern
0x07,0xF4,0x9E,,yes,deterministic lab pattern
0x07,0xF5,0xC3,,yes,deterministic lab pattern
0x07,0xF6,0xE8,,yes,deterministic lab pattern
0x07,0xF7,0x0D,,yes,deterministic lab pattern
0x07,0xF8,0x32,2,yes,deterministic lab pattern
0x07,0xF9,0x57,W,yes,deterministic lab pattern
0x07,0xFA,0x7C,|,yes,deterministic lab pattern
0x07,0xFB,0xA1,,yes,deterministic lab pattern
0x07,0xFC,0xC6,,yes,deterministic lab pattern
0x07,0xFD,0xEB,,yes,deterministic lab pattern
0x07,0xFE,0x10,,yes,deterministic lab pattern
0x07,0xFF,0x35,5,yes,deterministic lab pattern
