"Line","Qty","References","Category","Value / Function","Manufacturer","Manufacturer Part Number","Package / Source Footprint","Electrical Rating","Tolerance","Source Supplier","Populate","Production Status / Gate","Approved Compatible Alternate Policy","Source File","Mating / Accessory Notes","Datasheet / Source"
"BOM-011","1","C501","Capacitor; watchdog timing","22 nF","KEMET (YAGEO Group)","C0805C223J5GACTU","0805","50 V","5%; C0G/NP0 per exact MPN","","FIT","Source MPN fixed. The source records 1.758 s nominal and approximately 1.51–2.02 s across capacitor and TPS3851 timing tolerances; independently verify that calculation and the required heartbeat envelope before release.","None approved; alternate requires the same 0805 package, 22 nF, 5% or better, C0G/NP0 tempco and voltage rating, followed by repeated watchdog timing analysis.","src/safety.tsx","","https://yageogroup.com/download/specsheet/C0805C223J5GACTU"
"BOM-012","1","R1","Resistor; eFuse UV divider","649 kΩ","TBD — production gate","TBD — production gate","0603","Power, working voltage and tempco TBD","1%","","FIT","G-PASSIVE: exact MPN, power rating, working voltage, tempco and pulse capability unresolved.","Second source only after spec freeze; same package/value/1% or better and frozen power/voltage/tempco.","src/power.tsx","",""
"BOM-013","2","R2 R4","Resistor; eFuse divider","100 kΩ","TBD — production gate","TBD — production gate","0603","Power, working voltage and tempco TBD","1%","","FIT","G-PASSIVE: exact MPN, power rating, working voltage and tempco unresolved.","Second source only after spec freeze; same package/value/1% or better and frozen power/voltage/tempco.","src/power.tsx","",""
"BOM-014","1","R3","Resistor; eFuse OV divider","1.15 MΩ","TBD — production gate","TBD — production gate","0603","Power, working voltage and tempco TBD","1%","","FIT","G-PASSIVE: exact MPN, power rating, working voltage and tempco unresolved.","Second source only after spec freeze; same package/value/1% or better and frozen power/voltage/tempco.","src/power.tsx","",""
"BOM-015","1","R5","Resistor; eFuse current limit","2.21 kΩ","TBD — production gate","TBD — production gate","0603","Power and tempco TBD","1%","","FIT","G-PASSIVE: exact MPN, power rating and tempco unresolved; current-limit accuracy is functional.","Second source only after spec freeze; same package/value/1% or better and frozen power/tempco.","src/power.tsx","",""
"BOM-016","1","R7","Resistor; 5 V feedback","73.2 kΩ","TBD — production gate","TBD — production gate","0603","Power and tempco TBD","1%","","FIT","G-PASSIVE: exact MPN, power rating and tempco unresolved; output set-point accuracy is functional.","Second source only after spec freeze; same package/value/1% or better and frozen power/tempco.","src/power.tsx","",""
"BOM-017","1","R8","Resistor; 5 V feedback","10 kΩ","TBD — production gate","TBD — production gate","0603","Power and tempco TBD","1%","","FIT","G-PASSIVE: exact MPN, power rating and tempco unresolved; output set-point accuracy is functional.","Second source only after spec freeze; same package/value/1% or better and frozen power/tempco.","src/power.tsx","",""
"BOM-018","1","R604","Resistor; expansion current limit","133 kΩ","TBD — production gate","TBD — production gate","0603","Power and tempco TBD","1%","","FIT","G-PASSIVE: exact MPN, power rating and tempco unresolved; this sets the nominal 200 mA accessory limit.","Second source only after spec freeze; same package/value/1% or better and validated TPS2553 current-limit range.","src/expansion.tsx","",""
"BOM-019","6","R6 R301 R310 R403 R411 R658","Resistor; pull-up/bias","47 kΩ","TBD — production gate","TBD — production gate","0603","Power, working voltage and tempco TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating/tempco unresolved. These references are aggregated only because the authored value/package/rating/tolerance fields match.","Second source only after tolerance and ratings are frozen; same package/value and frozen electrical specs.","src/power.tsx; src/mode-service.tsx; src/target-service.tsx; src/expansion.tsx","",""
"BOM-020","30","R9 R104 R207 R306 R311 R312 R313 R314 R315 R402 R408 R502 R503 R504 R605 R630 R631 R632 R633 R634 R635 R636 R637 R638 R639 R640 R641 R656 R659 R660","Resistor; pull-up/pull-down/series bias","100 kΩ","TBD — production gate","TBD — production gate","0603","Power, working voltage and tempco TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating/tempco unresolved. Do not merge with R2/R4 or R654, whose 1% tolerance is explicit.","Second source only after tolerance and ratings are frozen; same package/value and frozen electrical specs.","src/power.tsx; src/processor.tsx; src/usb.tsx; src/mode-service.tsx; src/target-service.tsx; src/safety.tsx; src/expansion.tsx","",""
"BOM-021","6","R10 R103 R308 R309 R407 R655","Resistor; LED/series","1 kΩ","TBD — production gate","TBD — production gate","0603","Power, working voltage and tempco TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating/tempco unresolved.","Second source only after tolerance and ratings are frozen; same package/value and frozen electrical specs.","src/power.tsx; src/processor.tsx; src/mode-service.tsx; src/target-service.tsx; src/expansion.tsx","",""
"BOM-022","15","R101 R102 R205 R303 R304 R305 R307 R404 R501 R603 R606 R607 R608 R609 R622","Resistor; pull-up/pull-down/filter","10 kΩ","TBD — production gate","TBD — production gate","0603","Power, working voltage and tempco TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating/tempco unresolved. Do not merge with R8, whose 1% tolerance is explicit.","Second source only after tolerance and ratings are frozen; same package/value and frozen electrical specs.","src/processor.tsx; src/usb.tsx; src/mode-service.tsx; src/target-service.tsx; src/safety.tsx; src/expansion.tsx","",""
"BOM-023","2","R201 R202","Resistor; USB D+/D− series","22 Ω","TBD — production gate","TBD — production gate","0402","Power, working voltage, parasitics and tempco TBD","TBD","","FIT","G-USB-PASSIVE: exact MPN, tolerance and high-frequency parasitics unresolved; validate signal integrity and assembler 0402 capability.","Second source only after spec freeze; same 0402 package/value/tolerance and validated parasitics.","src/usb.tsx","",""
"BOM-024","2","R203 R204","Resistor; USB-C CC pull-down","5.1 kΩ","TBD — production gate","TBD — production gate","0603","Power and tempco TBD","TBD","","FIT","G-USB-PASSIVE: exact MPN and tolerance unresolved; USB-C Rd compliance must be verified before release.","Second source only after Rd tolerance/rating freeze; same package/value and USB-C-compliant tolerance.","src/usb.tsx","",""
"BOM-025","1","D3","Schottky diode; series reverse-polarity block","12 V input protection","Nexperia","PMEG6030EP,115","Source-defined SOD-128 cathode-pin-1 footprint","Per exact manufacturer datasheet and final input-current analysis","Per exact MPN","","FIT","Source MPN fixed; verify SOD-128 land pattern, cathode-pin-1 orientation, forward drop, thermal rise and surge/current margin with the 1.5 A input protection design.","None approved; alternate requires identical footprint/polarity and equal-or-better voltage, current, surge, Vf and thermal performance.","src/power.tsx","","https://assets.nexperia.com/documents/data-sheet/PMEG6030EP.pdf"
"BOM-026","33","TP101 TP102 TP103 TP104 TP105 TP106 TP107 TP108 TP109 TP110 TP111 TP112 TP113 TP114 TP115 TP116 TP117 TP118 TP119 TP120 TP121 TP122 TP123 TP124 TP201 TP202 TP203 TP204 TP205 TP206 TP207 TP208 TP209","PCB feature; exposed test point","Controller and target-domain production/service probes","N/A — fabricated as PCB copper","N/A — no purchased component","tSCircuit pad testpoint; 1.6 mm circular exposed pad","Probe/finish/current limits set by PCB fabrication and test fixture","N/A","","NO COMPONENT; FABRICATED IN PCB","G-TESTPOINT: verify copper diameter, solder-mask opening, surface finish, probe pitch/clearance, fixture access and domain segregation. Target and controller probes must not bridge the isolation keepout.","No component alternate. Any pad/finish change requires test-fixture and PCB-fabrication review.","src/testpoints.tsx","No mating housing. Select spring probes and fixture mechanics separately; keep controller- and target-domain fixtures electrically isolated.",""
"BOM-027","1","R302","Resistor; fault LED","2.2 kΩ","TBD — production gate","TBD — production gate","0603","Power and tempco TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating unresolved.","Second source only after tolerance and ratings are frozen; same package/value/spec.","src/mode-service.tsx","",""
"BOM-028","1","R401","Resistor; optocoupler LED","820 Ω","TBD — production gate","TBD — production gate","0603","Power and pulse rating TBD","TBD","","FIT","G-PASSIVE: exact MPN, tolerance and power rating unresolved; verify optocoupler LED current across rails and CTR.","Second source only after tolerance/power freeze and CTR analysis; same package/value/spec.","src/target-service.tsx","",""
"BOM-029","14","R405 R406 R610 R611 R612 R613 R614 R615 R616 R617 R618 R619 R620 R621","Resistor; signal series","330 Ω","TBD — production gate","TBD — production gate","0603","Power, pulse rating and parasitics TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating unresolved.","Second source only after tolerance/rating freeze; same package/value and validated signal behavior.","src/target-service.tsx; src/expansion.tsx","",""
"BOM-030","1","R409","Resistor; optocoupler LED","1.5 kΩ","TBD — production gate","TBD — production gate","0603","Power and pulse rating TBD","TBD","","FIT","G-PASSIVE: exact MPN, tolerance and power rating unresolved; verify FTDI RTS LED current and CTR.","Second source only after tolerance/power freeze and CTR analysis; same package/value/spec.","src/target-service.tsx","",""
"BOM-031","2","R410 R650","Resistor; signal series","100 Ω","TBD — production gate","TBD — production gate","0603","Power, pulse rating and parasitics TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating unresolved.","Second source only after tolerance/rating freeze; same package/value and validated signal behavior.","src/target-service.tsx; src/expansion.tsx","",""
"BOM-032","4","R601 R602 R651 R657","Resistor; pull-up / signal series","4.7 kΩ","TBD — production gate","TBD — production gate","0603","Power and tempco TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating/tempco unresolved. R601/R602 are I2C pull-ups, R651 is the connector-side 1-Wire pull-up beyond U608, and R657 is the hopper-switch series resistor.","Second source only after bus rise-time, current and input-filter analysis; same package/value and frozen tolerance/rating.","src/expansion.tsx","",""
"BOM-033","1","R652","Resistor; weak discharge","470 kΩ","TBD — production gate","TBD — production gate","0603","Power and working voltage TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating unresolved.","Second source only after spec freeze; same package/value/rating/tolerance.","src/expansion.tsx","",""
"BOM-034","1","R206","Resistor; USB VBUS gate discharge","1 MΩ","TBD — production gate","TBD — production gate","0603","Power, leakage and tempco TBD","TBD","","FIT","G-PASSIVE: exact MPN and tolerance/rating/tempco unresolved; USB gate-discharge timing must include leakage and tolerance.","Second source only after timing freeze; same package/value and frozen specs.","src/usb.tsx","",""
"BOM-035","1","F1","Resettable PTC input fuse","1.5 A hold","Littelfuse","1812L150/24DR","1812","24 V; per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; validate trip curve, available fault interruption behavior, thermal derating, ambient/enclosure temperature, resistance rise and coordination with D3/U2 before release.","None approved; alternate requires the same 1812 land pattern and equal-or-better hold/trip, voltage, fault, thermal and lifecycle behavior.","src/power.tsx","","https://www.littelfuse.com/assetdocs/littelfuse-ptc-1812l-datasheet?assetguid=1bc63281-b1f6-44c9-9626-f96bdc8d7c2f"
"BOM-036","1","D1","Input TVS","SMBJ15A","Diodes Incorporated","SMBJ15A-13-F","Source-defined SMB cathode-pin-1 footprint","Per exact manufacturer datasheet; final surge environment unresolved","Per exact MPN","","FIT","Source MPN fixed; validate standoff/clamp voltage, pulse waveform and energy, polarity, land pattern and eFuse absolute-maximum coordination before release.","None approved; alternate requires the same SMB land/polarity and equal-or-better VRWM, clamp, pulse, leakage and thermal ratings.","src/power.tsx","","https://www.diodes.com/assets/Datasheets/SMBJ5.0A-SMBJ170A.pdf"
"BOM-037","2","D2 D101","LED; green indicator","Green","TBD — production gate","TBD — production gate","0603","Forward voltage/current/luminous intensity TBD","TBD","","FIT","G-LED: exact MPN, polarity marking, intensity bin and resistor-current pairing unresolved.","Second source only after color, polarity, Vf, intensity and package orientation are frozen.","src/power.tsx; src/processor.tsx","",""
"BOM-038","1","D303","LED; red fault indicator","Red","TBD — production gate","TBD — production gate","0603","Forward voltage/current/luminous intensity TBD","TBD","","FIT","G-LED: exact MPN, polarity marking, intensity bin and resistor-current pairing unresolved.","Second source only after color, polarity, Vf, intensity and package orientation are frozen.","src/mode-service.tsx","",""
"BOM-039","2","D401 D501","Switching diode","1N4148W","Diodes Incorporated","1N4148W-7-F","Source-defined SOD-123 cathode-pin-1 footprint","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify land pattern, cathode-pin-1 orientation and lifecycle before release.","None approved; alternate requires same package, pin/polarity, reverse rating, recovery and pulse-current capability.","src/target-service.tsx; src/safety.tsx","",""
"BOM-040","3","D301 D302 D402","Schottky diode","Power OR-ing and FTDI backfeed blocking","Nexperia","PMEG2010AEH,115","Source-defined SOD-123F cathode-pin-1 footprint","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify the SOD-123F land pattern, cathode-pin-1 orientation and forward-drop/current margins in both applications.","None approved; alternate requires the same SOD-123F land/polarity and equal-or-better Vf, leakage, current and surge ratings.","src/mode-service.tsx; src/target-service.tsx","","https://assets.nexperia.com/documents/data-sheet/PMEG2010AEH.pdf"
"BOM-041","1","D304","Dual Schottky diode; common cathode","Mode OR","Nexperia","BAT54C,215","SOT-23","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify common-cathode pinout and footprint orientation.","None approved; alternate requires identical SOT-23 pinout and Schottky ratings.","src/mode-service.tsx","",""
"BOM-042","1","D601","ESD/rail clamp diode","3.3 V expansion-rail clamp","Nexperia","PESD3V3U1UA,115","Source-defined SOD-323 cathode-pin-1 footprint","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify polarity, working voltage and clamp-energy suitability for the accessory rail.","None approved; alternate requires same package/polarity and equal-or-better VRWM/clamp/capacitance ratings.","src/expansion.tsx","","https://assets.nexperia.com/documents/data-sheet/PESD3V3U1UA_UB_UL.pdf"
"BOM-043","1","L1","Power inductor; 5 V buck","6.8 uH","Coilcraft","XAL7030-682ME","kicad:Inductor_SMD/L_Coilcraft_XAL7030-682","4 A source minimum","Per exact MPN","","FIT","Source MPN fixed; verify current saturation, DCR, temperature rise and exact land pattern at final load.","None approved; alternate requires identical land pattern/height and equal-or-better L, saturation current, RMS current, DCR and thermal rating.","src/power.tsx","",""
"BOM-044","1","L2","Power inductor; 3.3 V buck","2.2 uH","Bourns","SRN4018-2R2M","kicad:Inductor_SMD/L_Bourns-SRN4018","1.5 A source minimum","Per exact MPN","","FIT","Source MPN fixed; verify current saturation, DCR, temperature rise and exact land pattern at final load.","None approved; alternate requires identical land pattern/height and equal-or-better L, saturation current, RMS current, DCR and thermal rating.","src/power.tsx","",""
"BOM-045","1","J1","Connector; 12 V input","2-position keyed vertical header","JST","B2P-VH-B(LF)(SN)","kicad:Connector_JST/JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical","VH series; final harness current/temperature derating required","Per exact MPN","","FIT","Source MPN fixed; verify drill/outline, pin 1 and enclosure access.","No connector-family substitution approved; keying and harness mate must remain exact.","src/power.tsx","Mate VHR-2N. Select SVH-21T-P1.1 for #22–18 AWG or SVH-41T-P1.1 for #20–16 AWG after wire/current review; crimp tooling is a harness production gate.","https://www.jst-mfg.com/product/pdf/eng/eVH.pdf"
"BOM-046","1","J201","Connector; USB-C 2.0 receptacle","Self-powered USB device port","GCT","USB4105-GF-A","tSCircuit fetched/MPN-resolved footprint; no literal footprint is authored","USB 2.0 Type-C; VBUS sense only","Per exact MPN","","FIT","G-USB-CONN: source explicitly requires shell-stake suffix, enclosure fit and fetched copper/paste/mask validation against current GCT drawing.","None approved; a substitute must be mechanically and footprint identical and pass USB/enclosure review.","src/usb.tsx","Mates a standards-compliant USB Type-C plug/cable; no board-specific cable housing.","https://gct.co/files/drawings/usb4105.pdf"
"BOM-047","1","J301","Connector; FTDI service cable","6-position keyed vertical header","JST","B6B-XH-A(LF)(SN)","kicad:Connector_JST/JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","XH series; service cable is current limited to 75 mA by design","Per exact MPN","","FIT","Source MPN fixed; verify pin-1/orientation and cable-color assembly drawing.","No connector-family substitution approved; keying and harness mate must remain exact.","src/mode-service.tsx","Mate XHP-6. Use SXH-001T-P0.6 for #28–22 AWG or SXH-002T-P0.6 for #30–26 AWG as appropriate. Pin 2 CTS_N is intentionally unconnected.","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf"
"BOM-048","1","J401","Connector; stove J3","4-position keyed vertical header","JST","B4B-XH-A(LF)(SN)","kicad:Connector_JST/JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","Target-domain low-voltage interface","Per exact MPN","","FIT","Source MPN fixed; pin 3 is deliberate NC. Verify stove-end harness and pin-1 marking before release.","No connector-family substitution approved; keying and pin mapping are functional/safety constraints.","src/target-service.tsx","Board mate XHP-4 with SXH contact chosen for wire gauge. Stove-end connector and complete cable assembly remain a production gate.","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf"
"BOM-049","1","J402","Connector; stove J5/ICSP","5-position keyed vertical header","JST","B5B-XH-A(LF)(SN)","kicad:Connector_JST/JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","Target-derived VDD and ICSP signals","Per exact MPN","","FIT","G-J5-MAP: source marks 1=MCLR, 2=VDD, 3=VSS, 4=PGD, 5=PGC provisional until an independent continuity pass on actual hardware.","No connector-family substitution approved; keying and pin mapping are production blockers.","src/target-service.tsx","Board mate XHP-5 with SXH contact chosen for wire gauge. Stove-end connector and complete cable assembly remain a production gate.","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf"
"BOM-050","1","J403","Connector; PICkit ICSP","1x6 vertical 2.54 mm header","Würth Elektronik","61300611121","Source-defined THT 1x6 P2.54 mm footprint","3 A / 250 VAC per current manufacturer drawing; application is SELV ICSP","Per exact MPN","","FIT","G-PICKIT-FOOTPRINT: verify source-defined pin numbering, hole size and pin-1 orientation against current Würth drawing and a PICkit cable before release.","None approved unless 1x6 geometry, pin numbering, plating and tool mating are identical.","src/target-service.tsx","Mates a standard 1x6 2.54 mm female ICSP lead/tool; exact cable/socket assembly is not yet selected. Pin 6 is NC.","https://www.we-online.com/components/products/datasheet/61300611121.pdf"
"BOM-051","1","J404","Connector; auto-reset arm","1x2 vertical 2.54 mm header","Harwin","M20-9990245","kicad:Connector_PinHeader_2.54mm/PinHeader_1x02_P2.54mm_Vertical","Low-voltage logic","Per exact MPN","","FIT PCB HEADER; DO NOT FIT SHUNT","Source MPN fixed; source explicitly requires the removable shunt to be absent by default.","No header substitute unless footprint, pin geometry and intended shunt mating are identical.","src/target-service.tsx","Standard 2.54 mm shorting shunt accessory is intentionally DNP. Exact shunt MPN is TBD and must be controlled as an accessory, not silently fitted by assembly.","https://www.harwin.com/products/M20-9990245/"
"BOM-052","1","J501","Connector; thermostat transfer","4-position keyed vertical header","JST","B4P-VH-B(LF)(SN)","kicad:Connector_JST/JST_VH_B4P-VH-B_1x04_P3.96mm_Vertical","Floating dry-contact domain; final current/voltage and insulation review required","Per exact MPN","","FIT","G-THERMOSTAT-HARNESS: verify drill/outline, pin 1, contact current, creepage and fail-back harness/bypass accessory before release.","No connector-family substitution approved; keying and passive bypass topology must remain exact.","src/safety.tsx","Mate VHR-4N. Select SVH-21T-P1.1 for #22–18 AWG or SVH-41T-P1.1 for #20–16 AWG. Passive bypass accessory must join 1–3 and 2–4 and needs its own controlled drawing/test.","https://www.jst-mfg.com/product/pdf/eng/eVH.pdf"
"BOM-053","1","J502","Connector; force-backup loop","2-position keyed vertical header","JST","B2B-XH-A(LF)(SN)","kicad:Connector_JST/JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","5 V relay-coil feed loop","Per exact MPN","","FIT","G-FORCE-BACKUP-SHUNT: source requires a normally closed loop to ship fitted; the exact harness/shunt assembly and continuity test are unresolved.","No connector-family substitution approved; the open-fail behavior must be preserved.","src/safety.tsx","Mate XHP-2 with two SXH contacts and a controlled closed-loop wire assembly, or approved equivalent assembly within the same XH mating system. Do not use an unsupported 2.54 mm board jumper.","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf"
"BOM-054","1","J601","Connector; 12 GPIO expansion","16-position keyed vertical header","JST","B16B-PH-K-S(LF)(SN)","kicad:Connector_JST/JST_PH_B16B-PH-K_1x16_P2.00mm_Vertical","Shared current-limited 3.3 V expansion rail; 200 mA nominal total","Per exact MPN","","FIT","G-EXP-HARNESS: source requires pin-1 marking and mating-shell/cable keying verification before release.","No connector-family substitution approved; GPIO/power/ground pin order and keying must remain exact.","src/expansion.tsx","Mate PHR-16. Use SPH-002T-P0.5S for #30–24 AWG or SPH-004T-P0.5S for #32–28 AWG as appropriate; verify current sharing on duplicated rail contacts.","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf"
"BOM-055","1","J602","Connector; 1-Wire temperature","3-position keyed vertical header","JST","B3B-PH-K-S(LF)(SN)","kicad:Connector_JST/JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","3.3 V SELV accessory only","Per exact MPN","","FIT","Source MPN fixed; verify pin 1, cable keying and sensor harness pinout.","No connector-family substitution approved; pin order and keying must remain exact.","src/expansion.tsx","Mate PHR-3. Use SPH-002T-P0.5S for #30–24 AWG or SPH-004T-P0.5S for #32–28 AWG as appropriate.","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf"
"BOM-056","1","J603","Connector; auxiliary analog/GPIO/switch","5-position keyed vertical header","JST","B5B-PH-K-S(LF)(SN)","kicad:Connector_JST/JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical","0–3.3 V SELV signals only","Per exact MPN","","FIT","Source MPN fixed; verify pin 1, cable keying and explicit 3.3 V-only field labeling.","No connector-family substitution approved; pin order and keying must remain exact.","src/expansion.tsx","Mate PHR-5. Use SPH-002T-P0.5S for #30–24 AWG or SPH-004T-P0.5S for #32–28 AWG as appropriate.","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf"
"BOM-057","1","U1","Wireless MCU module","ESP32-S3; 16 MB flash; 2 MB PSRAM; external antenna","Espressif Systems","ESP32-S3-WROOM-1U-N16R2","kicad:RF_Module/ESP32-S3-WROOM-1U","3.3 V module; per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify current lifecycle, RF keepout, antenna connector/cable selection and module footprint before release.","None approved; memory/antenna variants are not substitutes without firmware, regulatory and layout review.","src/processor.tsx","External antenna and cable are not selected and are outside this PCB assembly BOM.","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"BOM-058","1","U2","eFuse / input protection","Adjustable overvoltage/current protection","Texas Instruments","TPS259470LRPWR","Source-defined exact TI RPW0010A VQFN-HR/HotRod land pattern","Per exact manufacturer datasheet","Per exact MPN","","FIT; FOOTPRINT REVIEW REQUIRED","The incompatible generic QFN has been replaced with the asymmetric TI RPW0010A recommended land pattern, including L-shaped corner lands, long IN/OUT lands and separated paste carriers. Independently compare generated copper/mask/paste, pin 1 and stencil assumptions with TI drawing 4225183/A before release.","None approved; substitute requires identical pinout/package and full protection/fault behavior review.","src/power.tsx","","https://www.ti.com/lit/ds/symlink/tps25947.pdf"
"BOM-059","1","U3","Buck regulator","Protected VIN to 5 V","Texas Instruments","LMR51430XDDCR","SOT-23-6","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify DDC land pattern, thermal limits and compensation/output network at final load.","None approved; substitute requires identical pinout/package and regulator stability/EMI/thermal review.","src/power.tsx","","https://www.ti.com/lit/ds/symlink/lmr51430.pdf"
"BOM-060","1","U4","Buck regulator","5 V to 3.3 V","Texas Instruments","TPS62162DSGR","kicad:Package_SON/Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias","Per exact manufacturer datasheet","Per exact MPN","","FIT","G-FOOTPRINT: verify DSG WSON-8 exposed-pad land and thermal-via plan; validate output network at final load.","None approved; substitute requires identical pinout/package and regulator stability/EMI/thermal review.","src/power.tsx","","https://www.ti.com/lit/ds/symlink/tps62162.pdf"
