comparison,table,index,status,old_value,new_value,old_value_hex,new_value_hex
5.0.21_to_5.5.00,altitude,63,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,64,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,65,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,66,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,67,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,68,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,69,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,70,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,71,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,72,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,73,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,74,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,75,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,76,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,77,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,78,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,79,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,80,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,81,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,82,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,83,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,84,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,85,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,86,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,87,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,88,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,89,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,90,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,91,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,92,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,93,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,94,same,0,0,0x00,0x00
5.0.21_to_5.5.00,altitude,95,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,0,same,70,70,0x46,0x46
5.0.21_to_5.5.00,fan_curve,1,same,70,70,0x46,0x46
5.0.21_to_5.5.00,fan_curve,2,same,70,70,0x46,0x46
5.0.21_to_5.5.00,fan_curve,3,same,70,70,0x46,0x46
5.0.21_to_5.5.00,fan_curve,4,same,70,70,0x46,0x46
5.0.21_to_5.5.00,fan_curve,5,same,70,70,0x46,0x46
5.0.21_to_5.5.00,fan_curve,6,same,70,70,0x46,0x46
5.0.21_to_5.5.00,fan_curve,7,same,70,70,0x46,0x46
5.0.21_to_5.5.00,fan_curve,8,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,9,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,10,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,11,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,12,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,13,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,14,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,15,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,16,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,17,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,18,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,19,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,20,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,21,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,22,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,23,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,24,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,25,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,26,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,27,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,28,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,29,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,30,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,31,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,32,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,33,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,34,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,35,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,36,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,37,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,38,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,39,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,40,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,41,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,42,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,43,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,44,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,45,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,46,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,47,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fan_curve,48,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,49,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,50,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,51,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,52,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,53,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,54,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,55,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,56,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,57,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,58,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,59,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,60,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,61,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,62,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fan_curve,63,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,0,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,1,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,2,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,3,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,4,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,5,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,6,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,7,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,8,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,9,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,10,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,11,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,12,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,13,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,14,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,15,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,16,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,17,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,18,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,19,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,20,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,21,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,22,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,23,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,24,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,25,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,26,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,27,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,28,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,29,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,30,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,31,same,100,100,0x64,0x64
5.0.21_to_5.5.00,feedwheel,32,same,75,75,0x4B,0x4B
5.0.21_to_5.5.00,feedwheel,33,same,75,75,0x4B,0x4B
5.0.21_to_5.5.00,feedwheel,34,same,75,75,0x4B,0x4B
5.0.21_to_5.5.00,feedwheel,35,same,75,75,0x4B,0x4B
5.0.21_to_5.5.00,feedwheel,36,same,75,75,0x4B,0x4B
5.0.21_to_5.5.00,feedwheel,37,same,75,75,0x4B,0x4B
5.0.21_to_5.5.00,feedwheel,38,same,75,75,0x4B,0x4B
5.0.21_to_5.5.00,feedwheel,39,same,75,75,0x4B,0x4B
5.0.21_to_5.5.00,feedwheel,40,same,133,133,0x85,0x85
5.0.21_to_5.5.00,feedwheel,41,same,133,133,0x85,0x85
5.0.21_to_5.5.00,feedwheel,42,same,133,133,0x85,0x85
5.0.21_to_5.5.00,feedwheel,43,same,133,133,0x85,0x85
5.0.21_to_5.5.00,feedwheel,44,same,133,133,0x85,0x85
5.0.21_to_5.5.00,feedwheel,45,same,133,133,0x85,0x85
5.0.21_to_5.5.00,feedwheel,46,same,133,133,0x85,0x85
5.0.21_to_5.5.00,feedwheel,47,same,133,133,0x85,0x85
5.0.21_to_5.5.00,feedwheel,48,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,49,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,50,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,51,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,52,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,53,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,54,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,55,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,56,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,57,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,58,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,59,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,60,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,61,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,62,same,0,0,0x00,0x00
5.0.21_to_5.5.00,feedwheel,63,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fuel_type,0,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,1,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,2,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,3,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,4,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,5,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,6,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,7,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,8,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,9,same,103,103,0x67,0x67
5.0.21_to_5.5.00,fuel_type,10,same,106,106,0x6A,0x6A
5.0.21_to_5.5.00,fuel_type,11,same,109,109,0x6D,0x6D
5.0.21_to_5.5.00,fuel_type,12,same,112,112,0x70,0x70
5.0.21_to_5.5.00,fuel_type,13,same,115,115,0x73,0x73
5.0.21_to_5.5.00,fuel_type,14,same,118,118,0x76,0x76
5.0.21_to_5.5.00,fuel_type,15,same,121,121,0x79,0x79
5.0.21_to_5.5.00,fuel_type,16,same,18,18,0x12,0x12
5.0.21_to_5.5.00,fuel_type,17,same,18,18,0x12,0x12
5.0.21_to_5.5.00,fuel_type,18,same,18,18,0x12,0x12
5.0.21_to_5.5.00,fuel_type,19,same,18,18,0x12,0x12
5.0.21_to_5.5.00,fuel_type,20,same,18,18,0x12,0x12
5.0.21_to_5.5.00,fuel_type,21,same,18,18,0x12,0x12
5.0.21_to_5.5.00,fuel_type,22,same,18,18,0x12,0x12
5.0.21_to_5.5.00,fuel_type,23,same,18,18,0x12,0x12
5.0.21_to_5.5.00,fuel_type,24,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,25,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,26,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,27,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,28,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,29,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,30,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,31,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,32,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,33,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,34,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,35,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,36,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,37,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,38,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,39,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,40,same,145,145,0x91,0x91
5.0.21_to_5.5.00,fuel_type,41,same,145,145,0x91,0x91
5.0.21_to_5.5.00,fuel_type,42,same,145,145,0x91,0x91
5.0.21_to_5.5.00,fuel_type,43,same,145,145,0x91,0x91
5.0.21_to_5.5.00,fuel_type,44,same,145,145,0x91,0x91
5.0.21_to_5.5.00,fuel_type,45,same,145,145,0x91,0x91
5.0.21_to_5.5.00,fuel_type,46,same,145,145,0x91,0x91
5.0.21_to_5.5.00,fuel_type,47,same,145,145,0x91,0x91
5.0.21_to_5.5.00,fuel_type,48,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,fuel_type,49,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,fuel_type,50,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,fuel_type,51,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,fuel_type,52,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,fuel_type,53,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,fuel_type,54,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,fuel_type,55,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,fuel_type,56,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,57,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,58,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,59,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,60,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,61,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,62,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,63,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,64,same,58,58,0x3A,0x3A
5.0.21_to_5.5.00,fuel_type,65,same,58,58,0x3A,0x3A
5.0.21_to_5.5.00,fuel_type,66,same,58,58,0x3A,0x3A
5.0.21_to_5.5.00,fuel_type,67,same,58,58,0x3A,0x3A
5.0.21_to_5.5.00,fuel_type,68,same,58,58,0x3A,0x3A
5.0.21_to_5.5.00,fuel_type,69,same,58,58,0x3A,0x3A
5.0.21_to_5.5.00,fuel_type,70,same,58,58,0x3A,0x3A
5.0.21_to_5.5.00,fuel_type,71,same,58,58,0x3A,0x3A
5.0.21_to_5.5.00,fuel_type,72,same,115,115,0x73,0x73
5.0.21_to_5.5.00,fuel_type,73,same,115,115,0x73,0x73
5.0.21_to_5.5.00,fuel_type,74,same,115,115,0x73,0x73
5.0.21_to_5.5.00,fuel_type,75,same,115,115,0x73,0x73
5.0.21_to_5.5.00,fuel_type,76,same,115,115,0x73,0x73
5.0.21_to_5.5.00,fuel_type,77,same,115,115,0x73,0x73
5.0.21_to_5.5.00,fuel_type,78,same,115,115,0x73,0x73
5.0.21_to_5.5.00,fuel_type,79,same,115,115,0x73,0x73
5.0.21_to_5.5.00,fuel_type,80,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,81,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,82,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,83,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,84,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,85,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,86,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,87,same,85,85,0x55,0x55
5.0.21_to_5.5.00,fuel_type,88,same,10,10,0x0A,0x0A
5.0.21_to_5.5.00,fuel_type,89,same,10,10,0x0A,0x0A
5.0.21_to_5.5.00,fuel_type,90,same,10,10,0x0A,0x0A
5.0.21_to_5.5.00,fuel_type,91,same,10,10,0x0A,0x0A
5.0.21_to_5.5.00,fuel_type,92,same,10,10,0x0A,0x0A
5.0.21_to_5.5.00,fuel_type,93,same,10,10,0x0A,0x0A
5.0.21_to_5.5.00,fuel_type,94,same,10,10,0x0A,0x0A
5.0.21_to_5.5.00,fuel_type,95,same,10,10,0x0A,0x0A
5.0.21_to_5.5.00,fuel_type,96,same,130,130,0x82,0x82
5.0.21_to_5.5.00,fuel_type,97,same,126,126,0x7E,0x7E
5.0.21_to_5.5.00,fuel_type,98,same,122,122,0x7A,0x7A
5.0.21_to_5.5.00,fuel_type,99,same,118,118,0x76,0x76
5.0.21_to_5.5.00,fuel_type,100,same,113,113,0x71,0x71
5.0.21_to_5.5.00,fuel_type,101,same,109,109,0x6D,0x6D
5.0.21_to_5.5.00,fuel_type,102,same,105,105,0x69,0x69
5.0.21_to_5.5.00,fuel_type,103,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,104,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,105,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,106,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,107,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,108,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,109,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,110,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,111,same,100,100,0x64,0x64
5.0.21_to_5.5.00,fuel_type,112,same,9,9,0x09,0x09
5.0.21_to_5.5.00,fuel_type,113,same,9,9,0x09,0x09
5.0.21_to_5.5.00,fuel_type,114,same,9,9,0x09,0x09
5.0.21_to_5.5.00,fuel_type,115,same,9,9,0x09,0x09
5.0.21_to_5.5.00,fuel_type,116,same,9,9,0x09,0x09
5.0.21_to_5.5.00,fuel_type,117,same,9,9,0x09,0x09
5.0.21_to_5.5.00,fuel_type,118,same,9,9,0x09,0x09
5.0.21_to_5.5.00,fuel_type,119,same,9,9,0x09,0x09
5.0.21_to_5.5.00,fuel_type,120,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fuel_type,121,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fuel_type,122,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fuel_type,123,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fuel_type,124,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fuel_type,125,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fuel_type,126,same,0,0,0x00,0x00
5.0.21_to_5.5.00,fuel_type,127,same,0,0,0x00,0x00
5.5.00_to_5.5.01,altitude,0,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,1,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,2,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,3,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,4,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,5,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,6,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,7,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,8,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,9,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,10,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,11,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,12,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,13,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,14,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,15,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,16,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,17,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,18,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,19,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,20,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,21,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,22,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,23,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,24,same,125,125,0x7D,0x7D
5.5.00_to_5.5.01,altitude,25,same,125,125,0x7D,0x7D
5.5.00_to_5.5.01,altitude,26,same,125,125,0x7D,0x7D
5.5.00_to_5.5.01,altitude,27,same,125,125,0x7D,0x7D
5.5.00_to_5.5.01,altitude,28,same,125,125,0x7D,0x7D
5.5.00_to_5.5.01,altitude,29,same,125,125,0x7D,0x7D
5.5.00_to_5.5.01,altitude,30,same,125,125,0x7D,0x7D
5.5.00_to_5.5.01,altitude,31,same,125,125,0x7D,0x7D
5.5.00_to_5.5.01,altitude,32,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,33,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,34,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,35,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,36,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,37,same,100,100,0x64,0x64
5.5.00_to_5.5.01,altitude,38,same,100,100,0x64,0x64
